READ DATA:
Last Address: 80
Ground Pressure: 824
Pressures:
0,0,0,8,
12,0,0,254,252,244,244,244,244,244,
244,244,244,244,244,244,244,244,244,244,
244,252,252,252,252,252,252,252,252,252,
252,252,252,252,244,244,244,244,244,244,
192,192,49,49,49,57,57,64,64,64,
80,89,93,96,96,104,113,113,121,129,
129,129,129,130,130,132,132,136,136,136,
144,144,144,144,144,148,148,153,153,153,
153,153,153,153,153,153,153,153,153,153,
153,153,153,153,153,153,153,153,153,153,
153,153,153,161,153,161,153,161,161,161,
161,161,161,161,161,161,161,161,161,161,
161,161,161,161,161,161,161,161,161,161,
153,161,153,161,153,161,153,161,153,161,
153,153,153,153,153,153,153,153,153,153,
153,153,153,153,153,153,153,153,153,153,
153,153,153,153,153,153,153,153,153,153,
153,153,153,153,153,153,153,153,153,153,
153,153,153,153,153,153,153,153,153,153,
153,153,153,153,153,153,153,153,153,153,
153,153,153,153,153,153,153,153,153,153,
148,153,148,153,144,144,144,144,144,144,
144,144,144,144,144,144,144,144,144,144,
144,144,144,144,144,144,144,144,144,144,
144,144,144,144,144,144,144,144,144,144,
144,144,144,144,144,144,144,144,144,144,
144,144,144,144,143,144,143,144,144,144,
144,144,144,144,144,144,144,144,143,144,
143,144,143,144,143,144,143,144,143,144,
143,144,143,144,143,144,143,144,143,144,
143,144,143,144,143,144,143,144,143,144,
143,144,143,144,143,144,143,144,143,144,
143,144,143,144,143,144,143,144,143,144,
143,144,143,143,143,143,141,143,136,136,
136,136,136,136,136,136,136,136,136,136,
136,136,136,136,136,136,136,136,136,136,
136,136,136,136,136,136,136,136,136,136,
136,136,136,136,136,136,136,136,136,136,
136,136,136,136,136,136,136,136,136,136,
136,136,136,136,136,136,136,136,136,136,
136,136,136,136,136,136,136,136,136,136,
136,136,136,136,136,136,136,136,136,136,
136,136,136,136,136,136,136,136,136,136,
136,136,136,136,136,136,136,136,136,136,
136,136,136,136,136,136,132,136,132,136,
132,136,132,136,132,136,132,132,132,132,
132,132,132,132,132,132,132,132,132,132,
132,132,132,132,132,132,132,132,132,132,
130,132,130,132,130,132,130,132,130,132,
130,132,130,132,130,132,130,132,130,132,
130,132,
END
